西元年,月,年月,原油及石油產品,地熱,天然氣,太陽光電,核能,水力,煤及煤產品,生質能及廢棄物,自產天然氣,進口液化天然氣,電力,風力,再生能源合計,化石燃料合計,再生能源佔比_%
2024,12,202412,3886659.771030653,2596.808,1844054.7083884687,1049879.94623,554945.66,213153.597,2507447.9156072,163595.21643004,7993.621,2428714.533738106,0.0,1904728.43351,3333954.00117004,10674870.549764426,23.8
2025,1,202501,4831753.097866025,2692.654,1759200.065446138,890989.10137,735419.11,196148.982,2287165.4631184,166100.7328101,7859.297,2316797.7793022203,0.0,1697965.3471,2953896.8172801,11202775.702732785,20.87
2025,2,202502,3670065.255497491,2260.769,1567057.665361482,968767.86574,664179.47,312050.33,1835450.6916816,155255.983062644,7314.531,2063540.3896692344,0.0,1497032.8806,2935367.828402644,9143428.533209806,24.3
2025,3,202503,4674840.2567297,2512.292,1824973.6828439254,1199343.6277,734053.73,389378.2,2346025.808156,160727.68123149202,7495.874,2403866.1737018577,0.0,1261105.9991,3013067.800031492,11257201.795431484,21.11
2025,4,202504,4231540.2487967415,2372.472,1965654.5673308002,1348084.24067,709113.69,454415.151,2571271.0154448,144265.4317481,7157.556,2589795.0829179883,0.0,716609.6868,2665746.9822181,11365418.470490329,19.0
2025,5,202505,3762031.782906115,2134.444,1983339.2928414552,1555363.38309,394658.34,620063.075,2939109.536412,163186.96891492,6893.612,2613318.469179882,0.0,609573.4845,2950321.3555049202,11304692.693339452,20.7
2025,6,202506,4646993.780888996,2469.788,1990503.1687712881,1629736.44722,0.0,602426.359,2604461.9581672,154112.188445808,6367.455,2623132.7050657,0.0,438704.2255,2827449.008165808,11871459.067893183,19.24
2025,7,202507,4642975.301084126,1376.108,2059726.05835052,1442960.33119,0.0,667588.083,3058770.1998587,168700.091433628,5985.109,2714767.0111644766,0.0,693346.1973,2973970.810923628,12482223.679457823,19.24
2025,8,202508,4616939.329186068,2299.591,2057666.6335046813,1552330.5237,0.0,748442.823,3079866.86153,162392.425295792,6790.074,2711500.990847304,0.0,387513.9666,2852979.329595792,12472763.889068052,18.62
2025,9,202509,3687374.2561694705,2246.823,2069064.9838732413,1555454.62002,0.0,527552.581,2457649.2749198,155788.86105932,6766.838,2726562.6196828275,0.0,160721.9951,2401764.88017932,10947417.972645339,17.99
2025,10,202510,3369597.8171716705,2018.42,2145308.6787966695,1495119.31194,0.0,428804.731,2852670.6075518,151715.6821733,8148.429,2826264.466135025,0.0,980406.6419,3058064.7870133,11201989.998655165,21.44
2025,11,202511,4689205.631803337,1498.411,1985973.8136820202,1215068.62263,0.0,367573.62,2002335.5544284,140995.769022048,6427.161,2617113.341187132,0.0,1833861.0477,3558997.470352048,11301055.502100889,23.95
2025,12,202512,4089633.9675115743,1961.026,1998733.1120170294,1121888.86585,0.0,184713.49,2278322.8517186,165584.09063902,6530.832,2633885.092523788,0.0,1925609.4277,3399756.9001890197,11007105.855770992,23.6
2026,1,202601,4554139.326977991,2111.674,1901243.519797752,1101412.19193,0.0,222806.588,2056222.7184795,164474.09556332,5959.428,2505587.5298414137,0.0,1887698.712,3378503.26149332,11023152.523096656,23.46
