西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2018,CV,汽車及其零件製造業,489074.0,347663.0,141411.0,29435.0,23833.0,63797.0,24346.0
2018,CW,其他運輸工具及其零件製造業,405845.0,303742.0,102103.0,7872.0,13750.0,60785.0,19696.0
2018,CX,家具製造業,89788.0,68090.0,21698.0,221.0,1808.0,14681.0,4988.0
2018,CY,其他製造業,497914.0,353945.0,143969.0,844.0,12712.0,94832.0,35581.0
2018,D,電力及燃氣供應業,740845.0,537463.0,203382.0,6655.0,118302.0,47696.0,30729.0
2018,E,用水供應及污染整治業,234013.0,128553.0,105460.0,426.0,17778.0,32013.0,55243.0
2018,F,營建工程業,1595807.0,1160400.0,435407.0,7321.0,22472.0,323331.0,82283.0
2018,G,批發及零售業,3822312.0,1078877.0,2743435.0,60863.0,154108.0,1251021.0,1277443.0
2018,H,運輸及倉儲業,1365502.0,827547.0,537955.0,7138.0,120305.0,268230.0,142282.0
2018,I,住宿及餐飲業,1026507.0,551676.0,474831.0,6887.0,36213.0,296035.0,135696.0
2018,ICT,ICT產業,7810593.0,4492754.0,3317839.0,22124.0,1111312.0,1143907.0,1040496.0
2018,J,出版影音及資通訊業,1026272.0,460488.0,565784.0,12103.0,118037.0,276599.0,159045.0
2018,K,金融及保險業,1758928.0,544111.0,1214817.0,62679.0,116117.0,627773.0,408248.0
2018,L,不動產及住宅服務業,1933084.0,436637.0,1496447.0,64555.0,212717.0,76474.0,1142701.0
2018,M,專業、科學及技術服務業,726898.0,303247.0,423651.0,4259.0,70711.0,244742.0,103939.0
2018,N,支援服務業,468117.0,147993.0,320124.0,4413.0,45292.0,230156.0,40263.0
2018,O,公共行政及國防；強制性社會安全,1531284.0,455371.0,1075913.0,6684.0,344126.0,725103.0,0.0
2018,P,教育業,908912.0,162205.0,746707.0,-13594.0,60675.0,679179.0,20447.0
2018,Q,醫療保健及社會工作服務業,884762.0,323687.0,561075.0,-7714.0,54246.0,418777.0,95766.0
2018,R,藝術、娛樂及休閒服務業,233707.0,85176.0,148531.0,5943.0,13011.0,104712.0,24865.0
2018,S,其他服務業,676555.0,238489.0,438066.0,12196.0,10342.0,338137.0,77391.0
2018,加值型營業稅,加值型營業稅,329844.0,0.0,329844.0,329844.0,0.0,0.0,0.0
2018,合計,合計,40038045.0,22132265.0,17905780.0,500532.0,2895960.0,8451175.0,6058113.0
2018,總計(生產面),總計(生產面),40571644.0,22132265.0,18439379.0,1034131.0,2895960.0,8451175.0,6058113.0
2018,進口稅,進口稅,203755.0,0.0,203755.0,203755.0,0.0,0.0,0.0
2019,A,農、林、漁、牧業,610253.0,289897.0,320356.0,-16400.0,23789.0,63413.0,249554.0
2019,B,礦業及土石採取業,20779.0,8824.0,11955.0,640.0,3424.0,3728.0,4163.0
2019,C,製造業,19769279.0,13693510.0,6075769.0,269177.0,1432530.0,2518668.0,1855394.0
2019,CA,食品及飼品製造業,827361.0,648265.0,179096.0,4362.0,13738.0,88276.0,72720.0
2019,CB,飲料及菸草製造業,163758.0,52728.0,111030.0,81699.0,4642.0,19081.0,5608.0
2019,CC,紡織業,385092.0,279602.0,105490.0,980.0,9135.0,71355.0,24020.0
2019,CD,成衣及服飾品製造業,167228.0,131006.0,36222.0,153.0,1491.0,26424.0,8154.0
2019,CE,皮革、毛皮及其製品製造業,50128.0,33848.0,16280.0,131.0,2548.0,11010.0,2591.0
2019,CF,木竹製品製造業,46603.0,34401.0,12202.0,155.0,1158.0,9516.0,1373.0
2019,CG,紙漿、紙及紙製品製造業,248616.0,184138.0,64478.0,545.0,5842.0,35694.0,22397.0
2019,CH,印刷及資料儲存媒體複製業,124757.0,78763.0,45994.0,254.0,5342.0,33868.0,6530.0
2019,CI,石油及煤製品製造業,1142371.0,969201.0,173170.0,97382.0,28577.0,28032.0,19179.0
